T,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
1,200,2000,0.00615848211066027,0.001,0.229964197190857,0.13392141138733,0.169268193796878,26874412.9893492,109.755,12470
1,200,2000,0.00069519279617756,0.001,0.57849077389149,0.117411961989939,0.195204683797221,84628436.3649649,126.995,35780
1,200,2000,6.15848211066027e-05,0.001,0.911043789589645,0.121722811988299,0.214752901079283,136416817.467486,90.6420000000001,54353
10,200,2000,100,0.001,0,NA,NA,-4800096.77403318,1.062,0
10,200,2000,91.1588829975082,0.001,0,NA,NA,-4800096.77403318,0.814,0
10,200,2000,83.099419493534,0.001,0,NA,NA,-4800096.77403318,0.873999999999999,0
10,200,2000,75.7525025877191,0.001,0,NA,NA,-4800096.77403318,0.808999999999999,0
10,200,2000,69.0551352016233,0.001,0,NA,NA,-4800096.77403318,0.799999999999999,0
10,200,2000,62.9498899022189,0.001,0,NA,NA,-4800096.77403318,0.800000000000001,0
10,200,2000,57.384416483024,0.001,0,NA,NA,-4800096.77403318,0.892000000000001,0
10,200,2000,52.3109930805626,0.001,0,NA,NA,-4800096.77403318,0.829000000000001,0
10,200,2000,47.6861169771447,0.001,0,NA,NA,-4800096.77403318,0.821999999999999,0
10,200,2000,43.4701315812502,0.001,0,NA,NA,-4800096.77403318,0.815999999999999,0
10,200,2000,39.6268863870148,0.001,0,NA,NA,-4800096.77403318,0.803999999999998,0
10,200,2000,36.1234269970943,0.001,0,NA,NA,-4800096.77403318,0.803000000000001,0
10,200,2000,32.9297125509715,0.001,0,NA,NA,-4800096.77403318,0.794,0
10,200,2000,30.0183581357559,0.001,0,NA,NA,-4800096.77403318,0.846,0
10,200,2000,27.3643999707467,0.001,0,NA,NA,-4800096.77403318,0.818000000000001,0
10,200,2000,24.9450813523032,0.001,0,NA,NA,-4800096.77403318,0.797000000000001,0
10,200,2000,22.7396575235793,0.001,0,NA,NA,-4800096.77403318,0.817999999999998,0
10,200,2000,20.7292177959537,0.001,0,NA,NA,-4800096.77403318,0.802,0
10,200,2000,18.8965233969121,0.001,0,NA,NA,-4800096.77403318,0.789999999999999,0
10,200,2000,17.2258596539879,0.001,0,NA,NA,-4800096.77403318,0.797000000000001,0
10,200,2000,15.7029012472938,0.001,0,NA,NA,-4800096.77403318,0.836999999999996,0
10,200,2000,14.3145893752348,0.001,0,NA,NA,-4800096.77403318,0.829000000000001,0
10,200,2000,13.049019780144,0.001,0,NA,NA,-4800096.77403318,0.802999999999997,0
10,200,2000,11.8953406737032,0.001,0,NA,NA,-4800096.77403318,0.792000000000002,0
